ticket_id,created_at,customer_id,department,city_x,state_x,device_type,os,browser,network_type,historical_tickets,sla_hours,resolution_time_hours,title,description,image_path,image_width,image_height,priority,status,assigned_team,has_attachment,sentiment_score,num_words,num_images_x,latitude,longitude,company,segment,employees,city_y,state_y,contract_type,customer_since,vip,monthly_revenue,num_events,last_event_date,event_types,num_abertura,num_updates,num_encerramento,num_images_y,target_category
1,2025-01-01T00:17:00,5012,Operações,Campinas,BA,Desktop,Windows,Safari,WiFi,1,4,28,Falha crítica no teclado: não funciona com tela preta.,Falha crítica no teclado: não funciona com tela preta.,images/keyboard.png,500,375,Alta,Fechado,N2,1,-0.559,6,2,-24.977208,-53.035662,,,,,,,,,,0,,,0,0,0,,Hardware
2,2025-01-01T00:34:00,6574,Financeiro,Campinas,RJ,Notebook,Windows,Chrome,5G,6,12,45,Falha no sistema de folha ao tentar gerar relatório.,Falha no sistema de folha ao tentar gerar relatório.,images/payroll.png,612,408,Crítica,Fechado,Aplicações,0,0.946,6,3,-32.941078,-50.197535,,,,,,,,,,0,,,0,0,0,,RH
3,2025-01-01T00:51:00,2139,TI,Campinas,MG,Desktop,Linux,Chrome,5G,17,24,47,O Sistema de tesouraria exibe cheiro de queimado ao gerar re...,O Sistema de tesouraria exibe cheiro de queimado ao gerar relatório.,images/finance_report.png,738,414,Média,Em andamento,N2,1,0.404,6,0,-27.160472,-51.405727,,,,,,,,,,0,,,0,0,0,,Financeiro
4,2025-01-01T01:08:00,7216,Financeiro,Belo Horizonte,RJ,Mobile,Android,Chrome,Cabo,2,12,52,O aplicativo Sistema ERP fecha inesperadamente quando export...,O aplicativo Sistema ERP fecha inesperadamente quando exportar dados.,images/sap_erp.png,612,344,Crítica,Aberto,Infra,0,0.311,3,3,-24.156954,-46.735766,,,,,,,,,,0,,,0,0,0,,Software
5,2025-01-01T01:25:00,5040,Financeiro,Belo Horizonte,PR,Mobile,iOS,Edge,Cabo,8,48,64,O acesso à banco de dados falha com reinicia sozinho.,O acesso à banco de dados falha com reinicia sozinho.,images/server.png,500,333,Média,Aberto,N2,0,0.584,6,3,-27.299142,-49.290804,,,,,,,,,,0,,,0,0,0,,Rede
6,2025-01-01T01:42:00,1188,TI,Belo Horizonte,MG,Mobile,Android,Chrome,4G,27,8,59,Erro no Módulo de notas fiscais durante abrir documento.,Erro no Módulo de notas fiscais durante abrir documento.,images/default_finance.png,500,750,Alta,Fechado,N2,0,0.741,4,2,-24.625804,-48.074137,,,,,,,,,,0,,,0,0,0,,Financeiro
7,2025-01-01T01:59:00,3646,TI,Belo Horizonte,MG,Notebook,Windows,Chrome,4G,19,8,8,Falha no Sistema de Notas Fiscais: não funciona ao tentar ge...,Falha no Sistema de Notas Fiscais: não funciona ao tentar gerar relatório.,images/finance_report.png,738,414,Alta,Aberto,Aplicações,0,0.956,3,1,-32.400533,-48.394704,,,,,,,,,,0,,,0,0,0,,Software
8,2025-01-01T02:16:00,4470,Operações,Santos,PR,Mobile,Android,Safari,5G,7,8,29,"Rede instável, superaquece ao acessar aplicação web.","Rede instável, superaquece ao acessar aplicação web.",images/network.png,500,342,Crítica,Aberto,N2,0,-0.986,6,0,-31.304535,-44.136342,,,,,,,,,,0,,,0,0,0,,Rede
9,2025-01-01T02:33:00,5562,RH,Campinas,RS,Desktop,iOS,Firefox,5G,26,8,13,O fonte não responde e exibe mensagem de erro.,O fonte não responde e exibe mensagem de erro.,images/power_supply.png,500,375,Média,Em andamento,Aplicações,1,-0.066,6,0,-26.460326,-43.356764,,,,,,,,,,0,,,0,0,0,,Hardware
10,2025-01-01T02:50:00,6559,TI,Campinas,RJ,Desktop,iOS,Firefox,5G,11,12,60,O usuário relatou que o fonte falha durante o acesso à rede.,O usuário relatou que o fonte falha durante o acesso à rede.,images/power_supply.png,500,375,Crítica,Em andamento,N1,0,0.304,6,0,-23.237941,-43.928967,,,,,,,,,,0,,,0,0,0,,Hardware
